"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of committers","Number of developer commits","Number of previous fixes","Number of previous modifications","Number of bugs"
"L111","ActiveTestSuite.java","src/main/java/junit/extensions/ActiveTestSuite.java","L110","3","0","52","4","104","0","6","0"
"L112","package-info.java","src/main/java/junit/extensions/package-info.java","L110","1","0","1","0","0","0","1","0"
"L113","RepeatedTest.java","src/main/java/junit/extensions/RepeatedTest.java","L110","4","0","30","4","104","0","6","0"
"L114","TestDecorator.java","src/main/java/junit/extensions/TestDecorator.java","L110","1","0","26","4","104","0","6","0"
"L115","TestSetup.java","src/main/java/junit/extensions/TestSetup.java","L110","1","0","24","4","104","0","6","0"
"L278","Assert.java","src/main/java/junit/framework/Assert.java","L277","23","0","161","12","107","0","31","0"
"L279","AssertionFailedError.java","src/main/java/junit/framework/AssertionFailedError.java","L277","2","0","12","7","107","0","12","0"
"L280","ComparisonCompactor.java","src/main/java/junit/framework/ComparisonCompactor.java","L277","13","0","65","4","104","0","6","0"
"L281","ComparisonFailure.java","src/main/java/junit/framework/ComparisonFailure.java","L277","1","0","22","4","104","0","6","0"
"L282","JUnit4TestAdapter.java","src/main/java/junit/framework/JUnit4TestAdapter.java","L277","4","0","67","5","104","0","15","0"
"L283","JUnit4TestAdapterCache.java","src/main/java/junit/framework/JUnit4TestAdapterCache.java","L277","7","0","66","4","104","0","12","0"
"L284","JUnit4TestCaseFacade.java","src/main/java/junit/framework/JUnit4TestCaseFacade.java","L277","1","0","23","4","104","0","6","0"
"L285","package-info.java","src/main/java/junit/framework/package-info.java","L277","1","0","1","0","0","0","1","0"
"L286","Protectable.java","src/main/java/junit/framework/Protectable.java","L277","1","0","4","4","104","0","6","0"
"L287","Test.java","src/main/java/junit/framework/Test.java","L277","1","0","5","4","104","0","6","0"
"L288","TestCase.java","src/main/java/junit/framework/TestCase.java","L277","9","0","230","5","104","0","8","0"
"L289","TestFailure.java","src/main/java/junit/framework/TestFailure.java","L277","1","0","33","7","107","0","11","0"
"L290","TestListener.java","src/main/java/junit/framework/TestListener.java","L277","1","0","7","6","134","0","8","0"
"L291","TestResult.java","src/main/java/junit/framework/TestResult.java","L277","9","0","101","8","120","0","10","0"
"L292","TestSuite.java","src/main/java/junit/framework/TestSuite.java","L277","25","0","183","13","134","1","25","0"
"L1370","BaseTestRunner.java","src/main/java/junit/runner/BaseTestRunner.java","L1369","32","0","243","8","134","0","16","0"
"L1371","package-info.java","src/main/java/junit/runner/package-info.java","L1369","1","0","1","0","0","0","1","0"
"L1372","TestRunListener.java","src/main/java/junit/runner/TestRunListener.java","L1369","1","0","11","4","104","0","6","0"
"L1373","Version.java","src/main/java/junit/runner/Version.java","L1369","1","0","11","9","104","1","82","0"
"L1591","package-info.java","src/main/java/junit/textui/package-info.java","L1590","1","0","1","0","0","0","1","0"
"L1592","ResultPrinter.java","src/main/java/junit/textui/ResultPrinter.java","L1590","7","0","93","6","134","0","8","0"
"L1593","TestRunner.java","src/main/java/junit/textui/TestRunner.java","L1590","13","0","127","9","134","0","12","0"
"L2846","After.java","src/main/java/org/junit/After.java","L2845","1","0","9","10","25","0","16","0"
"L2847","AfterClass.java","src/main/java/org/junit/AfterClass.java","L2845","1","0","9","11","25","0","20","0"
"L2848","Assert.java","src/main/java/org/junit/Assert.java","L2845","30","0","316","21","120","5","82","0"
"L2849","Assume.java","src/main/java/org/junit/Assume.java","L2845","4","0","40","11","120","0","38","0"
"L2850","AssumptionViolatedException.java","src/main/java/org/junit/AssumptionViolatedException.java","L2845","1","0","18","4","120","0","4","0"
"L2851","Before.java","src/main/java/org/junit/Before.java","L2845","1","0","9","10","25","0","18","0"
"L2852","BeforeClass.java","src/main/java/org/junit/BeforeClass.java","L2845","1","0","9","11","107","0","18","0"
"L2853","ClassRule.java","src/main/java/org/junit/ClassRule.java","L2845","1","0","9","11","25","0","42","0"
"L2854","ComparisonFailure.java","src/main/java/org/junit/ComparisonFailure.java","L2845","10","0","98","10","122","0","19","0"
"L2855","FixMethodOrder.java","src/main/java/org/junit/FixMethodOrder.java","L2845","1","0","11","11","120","0","18","0"
"L2856","Ignore.java","src/main/java/org/junit/Ignore.java","L2845","1","0","10","10","120","0","15","0"
"L2857","package-info.java","src/main/java/org/junit/package-info.java","L2845","1","0","1","4","104","0","6","0"
"L2858","Rule.java","src/main/java/org/junit/Rule.java","L2845","1","0","9","12","5","0","36","0"
"L2859","Test.java","src/main/java/org/junit/Test.java","L2845","1","0","16","14","5","0","23","0"
"L3417","ParallelComputer.java","src/main/java/org/junit/experimental/ParallelComputer.java","L3416","5","0","55","6","104","0","28","0"
"L4921","ArrayComparisonFailure.java","src/main/java/org/junit/internal/ArrayComparisonFailure.java","L4920","3","0","37","9","122","0","14","0"
"L4922","AssumptionViolatedException.java","src/main/java/org/junit/internal/AssumptionViolatedException.java","L4920","6","0","59","10","120","0","19","0"
"L4923","Classes.java","src/main/java/org/junit/internal/Classes.java","L4920","1","0","7","2","122","0","2","0"
"L4924","ComparisonCriteria.java","src/main/java/org/junit/internal/ComparisonCriteria.java","L4920","13","0","54","7","122","0","16","0"
"L4925","ExactComparisonCriteria.java","src/main/java/org/junit/internal/ExactComparisonCriteria.java","L4920","1","0","8","4","104","0","9","0"
"L4926","InexactComparisonCriteria.java","src/main/java/org/junit/internal/InexactComparisonCriteria.java","L4920","2","0","19","7","104","3","16","0"
"L4927","JUnitSystem.java","src/main/java/org/junit/internal/JUnitSystem.java","L4920","1","0","7","10","107","0","15","0"
"L4928","MethodSorter.java","src/main/java/org/junit/internal/MethodSorter.java","L4920","6","0","42","13","107","0","32","0"
"L4929","RealSystem.java","src/main/java/org/junit/internal/RealSystem.java","L4920","1","0","11","10","107","0","15","0"
"L4930","TextListener.java","src/main/java/org/junit/internal/TextListener.java","L4920","6","0","76","4","104","0","13","0"
"L4931","Throwables.java","src/main/java/org/junit/internal/Throwables.java","L4920","1","0","13","2","122","0","3","0"
"L6536","JUnitMatchers.java","src/main/java/org/junit/matchers/JUnitMatchers.java","L6535","1","0","46","8","104","0","46","0"
"L6537","package-info.java","src/main/java/org/junit/matchers/package-info.java","L6535","1","0","1","1","20","0","3","0"
"L6609","DisableOnDebug.java","src/main/java/org/junit/rules/DisableOnDebug.java","L6608","5","0","38","2","107","0","2","0"
"L6610","ErrorCollector.java","src/main/java/org/junit/rules/ErrorCollector.java","L6608","2","0","36","9","1","0","21","0"
"L6611","ExpectedException.java","src/main/java/org/junit/rules/ExpectedException.java","L6608","4","0","87","15","120","3","72","0"
"L6612","ExpectedExceptionMatcherBuilder.java","src/main/java/org/junit/rules/ExpectedExceptionMatcherBuilder.java","L6608","2","0","32","6","104","0","9","0"
"L6613","ExternalResource.java","src/main/java/org/junit/rules/ExternalResource.java","L6608","1","0","25","8","120","0","27","0"
"L6614","MethodRule.java","src/main/java/org/junit/rules/MethodRule.java","L6608","1","0","7","12","122","0","23","0"
"L6615","RuleChain.java","src/main/java/org/junit/rules/RuleChain.java","L6608","2","0","32","9","104","0","17","0"
"L6616","RunRules.java","src/main/java/org/junit/rules/RunRules.java","L6608","2","0","20","6","104","0","10","0"
"L6617","Stopwatch.java","src/main/java/org/junit/rules/Stopwatch.java","L6608","3","0","72","5","134","0","18","0"
"L6618","TemporaryFolder.java","src/main/java/org/junit/rules/TemporaryFolder.java","L6608","10","0","93","17","107","2","47","0"
"L6619","TestName.java","src/main/java/org/junit/rules/TestName.java","L6608","1","0","12","6","104","0","14","0"
"L6620","TestRule.java","src/main/java/org/junit/rules/TestRule.java","L6608","1","0","6","6","104","0","21","0"
"L6621","TestWatcher.java","src/main/java/org/junit/rules/TestWatcher.java","L6608","9","0","94","14","134","2","45","0"
"L6622","TestWatchman.java","src/main/java/org/junit/rules/TestWatchman.java","L6608","3","0","35","10","134","2","23","0"
"L6623","Timeout.java","src/main/java/org/junit/rules/Timeout.java","L6608","2","0","85","15","120","0","49","0"
"L6624","Verifier.java","src/main/java/org/junit/rules/Verifier.java","L6608","1","0","16","12","25","0","30","0"
"L7381","Computer.java","src/main/java/org/junit/runner/Computer.java","L7380","1","0","21","6","104","0","17","0"
"L7382","Describable.java","src/main/java/org/junit/runner/Describable.java","L7380","1","0","4","6","104","0","12","0"
"L7383","Description.java","src/main/java/org/junit/runner/Description.java","L7380","14","0","146","19","122","2","72","0"
"L7384","FilterFactories.java","src/main/java/org/junit/runner/FilterFactories.java","L7380","4","0","44","5","107","0","9","0"
"L7385","FilterFactory.java","src/main/java/org/junit/runner/FilterFactory.java","L7380","1","0","10","4","120","0","15","0"
"L7386","FilterFactoryParams.java","src/main/java/org/junit/runner/FilterFactoryParams.java","L7380","3","0","18","3","107","0","12","0"
"L7387","JUnitCommandLineParseResult.java","src/main/java/org/junit/runner/JUnitCommandLineParseResult.java","L7380","14","0","103","5","107","0","6","0"
"L7388","JUnitCore.java","src/main/java/org/junit/runner/JUnitCore.java","L7380","2","0","65","13","122","0","54","0"
"L7389","package-info.java","src/main/java/org/junit/runner/package-info.java","L7380","1","0","1","0","0","0","1","0"
"L7390","Request.java","src/main/java/org/junit/runner/Request.java","L7380","2","0","55","10","107","0","40","0"
"L7391","Result.java","src/main/java/org/junit/runner/Result.java","L7380","1","0","136","13","107","2","42","0"
"L7392","Runner.java","src/main/java/org/junit/runner/Runner.java","L7380","1","0","9","7","120","0","18","0"
"L7393","RunWith.java","src/main/java/org/junit/runner/RunWith.java","L7380","1","0","12","6","104","0","13","0"
"L8578","AllTests.java","src/main/java/org/junit/runners/AllTests.java","L8577","1","0","7","6","104","0","11","0"
"L8579","BlockJUnit4ClassRunner.java","src/main/java/org/junit/runners/BlockJUnit4ClassRunner.java","L8577","20","0","234","19","107","5","131","0"
"L8580","JUnit4.java","src/main/java/org/junit/runners/JUnit4.java","L8577","1","0","7","6","104","0","10","0"
"L8581","MethodSorters.java","src/main/java/org/junit/runners/MethodSorters.java","L8577","1","0","16","11","104","0","24","0"
"L8582","package-info.java","src/main/java/org/junit/runners/package-info.java","L8577","1","0","1","0","0","0","3","0"
"L8583","Parameterized.java","src/main/java/org/junit/runners/Parameterized.java","L8577","11","0","138","20","134","6","105","0"
"L8584","ParentRunner.java","src/main/java/org/junit/runners/ParentRunner.java","L8577","25","0","261","16","107","7","122","0"
"L8585","Suite.java","src/main/java/org/junit/runners/Suite.java","L8577","3","0","65","8","122","0","63","0"
"L9817","AnnotationsValidator.java","src/main/java/org/junit/validator/AnnotationsValidator.java","L9816","5","0","90","3","107","0","6","0"
"L9818","AnnotationValidator.java","src/main/java/org/junit/validator/AnnotationValidator.java","L9816","1","0","18","2","122","0","5","0"
"L9819","AnnotationValidatorFactory.java","src/main/java/org/junit/validator/AnnotationValidatorFactory.java","L9816","4","0","23","6","120","0","9","0"
"L9820","PublicClassValidator.java","src/main/java/org/junit/validator/PublicClassValidator.java","L9816","2","0","16","2","107","0","2","0"
"L9821","TestClassValidator.java","src/main/java/org/junit/validator/TestClassValidator.java","L9816","1","0","6","2","107","0","2","0"
"L9822","ValidateWith.java","src/main/java/org/junit/validator/ValidateWith.java","L9816","1","0","9","2","122","0","3","0"
"L3420","Categories.java","src/main/java/org/junit/experimental/categories/Categories.java","L3419","40","0","233","12","134","0","50","0"
"L3421","Category.java","src/main/java/org/junit/experimental/categories/Category.java","L3419","1","0","11","8","122","0","24","0"
"L3422","CategoryFilterFactory.java","src/main/java/org/junit/experimental/categories/CategoryFilterFactory.java","L3419","3","0","25","6","120","0","18","0"
"L3423","CategoryValidator.java","src/main/java/org/junit/experimental/categories/CategoryValidator.java","L3419","4","0","38","4","107","0","9","0"
"L3424","ExcludeCategories.java","src/main/java/org/junit/experimental/categories/ExcludeCategories.java","L3419","1","0","24","5","107","0","12","0"
"L3425","IncludeCategories.java","src/main/java/org/junit/experimental/categories/IncludeCategories.java","L3419","1","0","24","5","107","0","12","0"
"L3803","CouldNotReadCoreException.java","src/main/java/org/junit/experimental/max/CouldNotReadCoreException.java","L3802","1","0","7","4","104","0","8","0"
"L3804","MaxCore.java","src/main/java/org/junit/experimental/max/MaxCore.java","L3802","12","0","110","4","104","0","45","0"
"L3805","MaxHistory.java","src/main/java/org/junit/experimental/max/MaxHistory.java","L3802","8","0","122","7","122","0","35","0"
"L4124","FailureList.java","src/main/java/org/junit/experimental/results/FailureList.java","L4123","3","0","23","4","104","0","8","0"
"L4125","PrintableResult.java","src/main/java/org/junit/experimental/results/PrintableResult.java","L4123","1","0","33","5","104","0","15","0"
"L4126","ResultMatchers.java","src/main/java/org/junit/experimental/results/ResultMatchers.java","L4123","2","0","41","7","104","0","21","0"
"L4207","Enclosed.java","src/main/java/org/junit/experimental/runners/Enclosed.java","L4206","3","0","20","6","122","0","19","0"
"L4229","DataPoint.java","src/main/java/org/junit/experimental/theories/DataPoint.java","L4228","1","0","12","3","25","2","13","0"
"L4230","DataPoints.java","src/main/java/org/junit/experimental/theories/DataPoints.java","L4228","1","0","12","4","122","2","16","0"
"L4231","FromDataPoints.java","src/main/java/org/junit/experimental/theories/FromDataPoints.java","L4228","1","0","12","6","120","0","10","0"
"L4232","ParameterSignature.java","src/main/java/org/junit/experimental/theories/ParameterSignature.java","L4228","13","0","110","7","25","0","17","0"
"L4233","ParametersSuppliedBy.java","src/main/java/org/junit/experimental/theories/ParametersSuppliedBy.java","L4228","1","0","11","9","120","0","13","0"
"L4234","ParameterSupplier.java","src/main/java/org/junit/experimental/theories/ParameterSupplier.java","L4228","1","0","5","7","107","3","12","0"
"L4235","PotentialAssignment.java","src/main/java/org/junit/experimental/theories/PotentialAssignment.java","L4228","3","0","41","9","134","2","25","0"
"L4236","Theories.java","src/main/java/org/junit/experimental/theories/Theories.java","L4228","28","0","215","13","107","5","66","0"
"L4237","Theory.java","src/main/java/org/junit/experimental/theories/Theory.java","L4228","1","0","10","7","107","0","11","0"
"L4993","AllDefaultPossibilitiesBuilder.java","src/main/java/org/junit/internal/builders/AllDefaultPossibilitiesBuilder.java","L4992","4","0","45","4","104","0","10","0"
"L4994","AnnotatedBuilder.java","src/main/java/org/junit/internal/builders/AnnotatedBuilder.java","L4992","7","0","46","6","107","0","15","0"
"L4995","IgnoredBuilder.java","src/main/java/org/junit/internal/builders/IgnoredBuilder.java","L4992","2","0","13","4","104","0","7","0"
"L4996","IgnoredClassRunner.java","src/main/java/org/junit/internal/builders/IgnoredClassRunner.java","L4992","1","0","18","4","104","0","7","0"
"L4997","JUnit3Builder.java","src/main/java/org/junit/internal/builders/JUnit3Builder.java","L4992","2","0","16","4","104","0","7","0"
"L4998","JUnit4Builder.java","src/main/java/org/junit/internal/builders/JUnit4Builder.java","L4992","1","0","10","4","104","0","9","0"
"L4999","NullBuilder.java","src/main/java/org/junit/internal/builders/NullBuilder.java","L4992","1","0","9","4","104","0","7","0"
"L5000","SuiteMethodBuilder.java","src/main/java/org/junit/internal/builders/SuiteMethodBuilder.java","L4992","3","0","21","4","104","0","7","0"
"L5235","StacktracePrintingMatcher.java","src/main/java/org/junit/internal/matchers/StacktracePrintingMatcher.java","L5234","1","0","41","6","104","0","10","0"
"L5236","ThrowableCauseMatcher.java","src/main/java/org/junit/internal/matchers/ThrowableCauseMatcher.java","L5234","1","0","29","6","107","0","11","0"
"L5237","ThrowableMessageMatcher.java","src/main/java/org/junit/internal/matchers/ThrowableMessageMatcher.java","L5234","1","0","29","6","104","0","9","0"
"L5238","TypeSafeMatcher.java","src/main/java/org/junit/internal/matchers/TypeSafeMatcher.java","L5234","8","0","36","8","104","0","16","0"
"L5430","ClassRequest.java","src/main/java/org/junit/internal/requests/ClassRequest.java","L5429","3","0","28","11","107","0","25","0"
"L5431","FilterRequest.java","src/main/java/org/junit/internal/requests/FilterRequest.java","L5429","2","0","26","5","107","0","11","0"
"L5432","package-info.java","src/main/java/org/junit/internal/requests/package-info.java","L5429","1","0","1","0","0","0","1","0"
"L5433","SortingRequest.java","src/main/java/org/junit/internal/requests/SortingRequest.java","L5429","1","0","20","4","104","0","7","0"
"L5479","ClassRoadie.java","src/main/java/org/junit/internal/runners/ClassRoadie.java","L5478","9","0","67","7","107","0","13","0"
"L5480","ErrorReportingRunner.java","src/main/java/org/junit/internal/runners/ErrorReportingRunner.java","L5478","7","0","58","7","107","2","29","0"
"L5481","FailedBefore.java","src/main/java/org/junit/internal/runners/FailedBefore.java","L5478","1","0","6","6","107","0","11","0"
"L5482","InitializationError.java","src/main/java/org/junit/internal/runners/InitializationError.java","L5478","1","0","20","7","122","0","13","0"
"L5483","JUnit38ClassRunner.java","src/main/java/org/junit/internal/runners/JUnit38ClassRunner.java","L5478","18","0","151","9","134","0","36","0"
"L5484","JUnit4ClassRunner.java","src/main/java/org/junit/internal/runners/JUnit4ClassRunner.java","L5478","8","0","121","6","107","0","22","0"
"L5485","MethodRoadie.java","src/main/java/org/junit/internal/runners/MethodRoadie.java","L5478","21","0","144","6","107","0","14","0"
"L5486","MethodValidator.java","src/main/java/org/junit/internal/runners/MethodValidator.java","L5478","11","0","78","6","107","0","11","0"
"L5487","package-info.java","src/main/java/org/junit/internal/runners/package-info.java","L5478","1","0","1","0","0","0","1","0"
"L5488","SuiteMethod.java","src/main/java/org/junit/internal/runners/SuiteMethod.java","L5478","3","0","24","4","104","0","7","0"
"L5489","TestClass.java","src/main/java/org/junit/internal/runners/TestClass.java","L5478","14","0","88","8","107","0","15","0"
"L5490","TestMethod.java","src/main/java/org/junit/internal/runners/TestMethod.java","L5478","4","0","53","6","107","0","11","0"
"L7703","Filter.java","src/main/java/org/junit/runner/manipulation/Filter.java","L7702","8","0","68","7","107","1","28","0"
"L7704","Filterable.java","src/main/java/org/junit/runner/manipulation/Filterable.java","L7702","1","0","4","6","104","0","10","0"
"L7705","NoTestsRemainException.java","src/main/java/org/junit/runner/manipulation/NoTestsRemainException.java","L7702","1","0","4","6","104","0","10","0"
"L7706","package-info.java","src/main/java/org/junit/runner/manipulation/package-info.java","L7702","1","0","1","0","0","0","1","0"
"L7707","Sortable.java","src/main/java/org/junit/runner/manipulation/Sortable.java","L7702","1","0","4","6","104","0","10","0"
"L7708","Sorter.java","src/main/java/org/junit/runner/manipulation/Sorter.java","L7702","2","0","23","7","104","0","19","0"
"L7772","Failure.java","src/main/java/org/junit/runner/notification/Failure.java","L7771","1","0","36","11","122","0","26","0"
"L7773","package-info.java","src/main/java/org/junit/runner/notification/package-info.java","L7771","1","0","1","0","0","0","1","0"
"L7774","RunListener.java","src/main/java/org/junit/runner/notification/RunListener.java","L7771","1","0","29","11","134","0","27","0"
"L7775","RunNotifier.java","src/main/java/org/junit/runner/notification/RunNotifier.java","L7771","10","0","127","17","134","2","41","0"
"L7776","StoppedByUserException.java","src/main/java/org/junit/runner/notification/StoppedByUserException.java","L7771","1","0","4","6","104","0","10","0"
"L7777","SynchronizedRunListener.java","src/main/java/org/junit/runner/notification/SynchronizedRunListener.java","L7771","3","0","73","2","25","0","4","0"
"L8800","Annotatable.java","src/main/java/org/junit/runners/model/Annotatable.java","L8799","1","0","6","4","107","0","6","0"
"L8801","FrameworkField.java","src/main/java/org/junit/runners/model/FrameworkField.java","L8799","2","0","50","13","107","0","39","0"
"L8802","FrameworkMember.java","src/main/java/org/junit/runners/model/FrameworkMember.java","L8799","3","0","25","11","5","0","25","0"
"L8803","FrameworkMethod.java","src/main/java/org/junit/runners/model/FrameworkMethod.java","L8799","14","0","113","15","120","0","56","0"
"L8804","InitializationError.java","src/main/java/org/junit/runners/model/InitializationError.java","L8799","1","0","19","9","122","0","21","0"
"L8805","MultipleFailureException.java","src/main/java/org/junit/runners/model/MultipleFailureException.java","L8799","4","0","34","8","122","0","21","0"
"L8806","NoGenericTypeParametersValidator.java","src/main/java/org/junit/runners/model/NoGenericTypeParametersValidator.java","L8799","9","0","50","6","104","0","12","0"
"L8807","RunnerBuilder.java","src/main/java/org/junit/runners/model/RunnerBuilder.java","L8799","5","0","50","7","104","0","13","0"
"L8808","RunnerScheduler.java","src/main/java/org/junit/runners/model/RunnerScheduler.java","L8799","1","0","5","6","104","0","11","0"
"L8809","Statement.java","src/main/java/org/junit/runners/model/Statement.java","L8799","1","0","4","6","104","0","12","0"
"L8810","TestClass.java","src/main/java/org/junit/runners/model/TestClass.java","L8799","30","0","218","16","107","4","72","0"
"L8811","TestTimedOutException.java","src/main/java/org/junit/runners/model/TestTimedOutException.java","L8799","1","0","19","1","107","0","4","0"
"L9468","BlockJUnit4ClassRunnerWithParameters.java","src/main/java/org/junit/runners/parameterized/BlockJUnit4ClassRunnerWithParameters.java","L9467","13","0","123","2","107","0","3","0"
"L9469","BlockJUnit4ClassRunnerWithParametersFactory.java","src/main/java/org/junit/runners/parameterized/BlockJUnit4ClassRunnerWithParametersFactory.java","L9467","1","0","10","2","107","0","2","0"
"L9470","ParametersRunnerFactory.java","src/main/java/org/junit/runners/parameterized/ParametersRunnerFactory.java","L9467","1","0","7","2","107","0","2","0"
"L9471","TestWithParameters.java","src/main/java/org/junit/runners/parameterized/TestWithParameters.java","L9467","7","0","61","2","107","0","3","0"
"L4263","AllMembersSupplier.java","src/main/java/org/junit/experimental/theories/internal/AllMembersSupplier.java","L4262","29","0","166","8","122","7","50","0"
"L4264","Assignments.java","src/main/java/org/junit/experimental/theories/internal/Assignments.java","L4262","11","0","118","9","134","3","29","0"
"L4265","BooleanSupplier.java","src/main/java/org/junit/experimental/theories/internal/BooleanSupplier.java","L4262","1","0","13","3","25","0","3","0"
"L4266","EnumSupplier.java","src/main/java/org/junit/experimental/theories/internal/EnumSupplier.java","L4262","2","0","21","3","25","0","3","0"
"L4267","ParameterizedAssertionError.java","src/main/java/org/junit/experimental/theories/internal/ParameterizedAssertionError.java","L4262","5","0","42","9","134","0","17","0"
"L4268","SpecificDataPointsSupplier.java","src/main/java/org/junit/experimental/theories/internal/SpecificDataPointsSupplier.java","L4262","9","0","69","3","25","2","7","0"
"L4736","TestedOn.java","src/main/java/org/junit/experimental/theories/suppliers/TestedOn.java","L4735","1","0","12","7","122","0","11","0"
"L4737","TestedOnSupplier.java","src/main/java/org/junit/experimental/theories/suppliers/TestedOnSupplier.java","L4735","2","0","18","8","107","2","15","0"
"L5882","EachTestNotifier.java","src/main/java/org/junit/internal/runners/model/EachTestNotifier.java","L5881","3","0","38","5","104","0","18","0"
"L5883","MultipleFailureException.java","src/main/java/org/junit/internal/runners/model/MultipleFailureException.java","L5881","1","0","9","4","104","0","11","0"
"L5884","ReflectiveCallable.java","src/main/java/org/junit/internal/runners/model/ReflectiveCallable.java","L5881","2","0","12","4","104","0","6","0"
"L5925","RuleMemberValidator.java","src/main/java/org/junit/internal/runners/rules/RuleMemberValidator.java","L5924","16","0","176","3","107","0","5","0"
"L5926","ValidationError.java","src/main/java/org/junit/internal/runners/rules/ValidationError.java","L5924","1","0","8","2","107","0","2","0"
"L6118","ExpectException.java","src/main/java/org/junit/internal/runners/statements/ExpectException.java","L6117","5","0","32","5","104","0","12","0"
"L6119","Fail.java","src/main/java/org/junit/internal/runners/statements/Fail.java","L6117","1","0","12","4","104","0","8","0"
"L6120","FailOnTimeout.java","src/main/java/org/junit/internal/runners/statements/FailOnTimeout.java","L6117","28","0","191","13","120","0","60","0"
"L6121","InvokeMethod.java","src/main/java/org/junit/internal/runners/statements/InvokeMethod.java","L6117","1","0","15","4","104","0","9","0"
"L6122","RunAfters.java","src/main/java/org/junit/internal/runners/statements/RunAfters.java","L6117","4","0","34","6","104","2","19","0"
"L6123","RunBefores.java","src/main/java/org/junit/internal/runners/statements/RunBefores.java","L6117","2","0","21","4","104","0","10","0"
"L1770","AllTests.java","src/test/java/junit/samples/AllTests.java","L1769","1","0","15","4","104","0","6","0"
"L1771","ListTest.java","src/test/java/junit/samples/ListTest.java","L1769","3","0","55","5","5","0","10","0"
"L1772","package-info.java","src/test/java/junit/samples/package-info.java","L1769","1","0","1","0","0","0","1","0"
"L1773","SimpleTest.java","src/test/java/junit/samples/SimpleTest.java","L1769","1","0","36","5","104","2","10","0"
"L2056","AllTests.java","src/test/java/junit/tests/AllTests.java","L2055","1","0","15","4","104","0","6","0"
"L2057","package-info.java","src/test/java/junit/tests/package-info.java","L2055","1","0","1","0","0","0","1","0"
"L2058","WasRun.java","src/test/java/junit/tests/WasRun.java","L2055","1","0","9","4","104","0","6","0"
"L2862","AssumptionViolatedExceptionTest.java","src/test/java/org/junit/AssumptionViolatedExceptionTest.java","L2861","1","0","83","4","120","0","6","0"
"L1829","IMoney.java","src/test/java/junit/samples/money/IMoney.java","L1828","1","0","11","5","1","0","7","0"
"L1830","Money.java","src/test/java/junit/samples/money/Money.java","L1828","7","0","67","6","134","0","9","0"
"L1831","MoneyBag.java","src/test/java/junit/samples/money/MoneyBag.java","L1828","20","0","123","6","134","0","8","0"
"L1832","MoneyTest.java","src/test/java/junit/samples/money/MoneyTest.java","L1828","1","0","123","4","104","0","6","0"
